Global Fortune 500 Ranking,Company Name,CEO First Name,CEO Last Name,CEO Business Title,CEO Education Summary,Company Org Chart URL (See all the CEO's direct reports),CEO Biography,Company Industry,Company Country,Company Stock Ticker,Company Customer ID,Executive Customer ID,Degree 1,College 1,Degree 2,College 2
12,McKesson,Brian,Tyler,"Director, President and Chief Executive Officer","Brian Tyler has a Bachelor of Arts in Economics from University of California, Santa Cruz in 1989 and a PhD in Economics from University of Chicago in 1994.",https://www.theofficialboard.com/org-chart/mckesson,https://www.theofficialboard.com/biography/brian-tyler-258ge,Healthcare,United States (USA),US - MCK,990ev,zpr955,PhD in Economics,University of Chicago,Bachelor of Arts in Economics,"University of California, Santa Cruz"
13,China State Construction Engineering,Xuexuan,Zheng,Chairman of the Board and President,Xuexuan Zheng has an Undergraduate Degree from Chongqing University.,https://www.theofficialboard.com/org-chart/china-state-construction-engineering,https://www.theofficialboard.com/biography/xuexuan-zheng-823e2,Construction,China,CN - 601668,zpmn5,znpr9v,Undergraduate Degree,,,
14,Aramco,Amin H.,Nasser,"President, Chief Executive Officer and Director","In 1982, Amin H. Nasser completed a Bachelor in Petroleum Engineering at King Fahd University of Petroleum & Minerals.",https://www.theofficialboard.com/org-chart/aramco,https://www.theofficialboard.com/biography/amin-h-nasser-ed20d,Oil & Gas,Saudi Arabia,SA - SAR,4n4eq,dq6o7m,Bachelor in Petroleum Engineering,King Fahd University of Petroleum & Minerals,,
16,Ping An Insurance,Jason,Yao,Co-Chief Executive Officer,Jason Yao has a Master of Business Administration from New York University.,https://www.theofficialboard.com/org-chart/ping-an-insurance,https://www.theofficialboard.com/biography/jason-yao-g7d67,Insurance,China,CN - 601318,58odr,dq1j1m,Master of Business Administration,New York University,,
17,AmerisourceBergen,Steven,Collis,"Chairman, President and Chief Executive Officer","In 1983, Steven Collis completed a Bachelor in Commerce at University of Waterloo.",https://www.theofficialboard.com/org-chart/amerisourcebergen,https://www.theofficialboard.com/biography/steven-collis-54g81,Pharmaceuticals,United States (USA),US - ABC,4dzr,o52527,Bachelor in Commerce,University of Waterloo,,
18,BP,Bernard,Looney,Chief Executive Officer and Director,Bernard Looney graduated from Stanford Business School.,https://www.theofficialboard.com/org-chart/bp,https://www.theofficialboard.com/biography/bernard-looney-7052g,Oil & Gas,United Kingdom (UK),GB - BP,jq7o,5860ew,,Stanford Business School,,
19,Shell,Ben,van Beurden,Chief Executive Officer & Director,Ben van Beurden has a Master in Chemical Engineering from Delft University of Technology.,https://www.theofficialboard.com/org-chart/shell,https://www.theofficialboard.com/biography/ben-van-beurden-d5375,Oil & Gas,Netherlands,GB - RDSA,lo079,moo0wp,,Delft University of Technology,,
20,ICBC,Liao,Lin,"President, Vice Chairman of the Board and Executive Director",Liao Lin has a Doctorate in Management Science from Southwest Jiaotong University.,https://www.theofficialboard.com/org-chart/icbc,https://www.theofficialboard.com/biography/liao-lin-eg7d2,Banking,China,CN - 601398,ne0oz,y6zw7w,,,,
21,Alphabet Inc,Sundar,Pichai,Chief Executive Officer and Director,Sundar Pichai has a Master of Science from Stanford University and a Master of Business Administration from University of Pennsylvania - The Wharton School.,https://www.theofficialboard.com/org-chart/alphabet-inc,https://www.theofficialboard.com/biography/sundar-pichai-981e8,Industrial Conglomerates,United States (USA),US - GOOGL,y87jy,1ye8xq,Master of Business Administration,University of Pennsylvania - The Wharton School,Master of Science,Stanford University
22,Foxconn Electronics,Young,Liu,Chief Executive Officer and Chairman of the Board,Young Liu has a Bachelor of Science in Electrophysics from Taiwan’s National Chiao Tung University in 1978 and a Master of Science in Computer Engineering from University of Southern California in 1986.,https://www.theofficialboard.com/org-chart/foxconn-electronics,https://www.theofficialboard.com/biography/young-liu-34g74,Electrical & Electronic Components,Taiwan,TW - HNHPF,2m7mp,w2v1xz,Master of Science in Computer Engineering,University of Southern California,Bachelor of Science in Electrophysics,
23,ExxonMobil,Darren,Woods,Chairman of the Board and Chief Executive Officer,Darren Woods has a Bachelor of Science in Electrical Engineering from Texas A&M University and a Master of Business Administration from Northwestern University - Kellogg School of Management.,https://www.theofficialboard.com/org-chart/exxonmobil,https://www.theofficialboard.com/biography/darren-woods-2092g,Oil & Gas,United States (USA),US - XOM,wjqqe,9lelxd,Master of Business Administration,Northwestern University - Kellogg School of Management,Bachelor of Science in Electrical Engineering,Texas A&M University
24,Mercedes-Benz Group,Ola,Kaellenius,Chairman of the Management Board,Ola Kaellenius has a Master’s degree in International Management and Finance and Accounting from Stockholm School of Economics.,https://www.theofficialboard.com/org-chart/mercedes-benz-group,https://www.theofficialboard.com/biography/ola-kaellenius-de6de,Automotive,Germany,DE - DAI,62jr,099y18,,Stockholm School of Economics,,
25,China Construction Bank,Wang,Jiang,President,Wang Jiang has a Bachelor in Finance from Shandong Economics College in 1984 and a Doctorate in Economics from Xiamen University in 1999.,https://www.theofficialboard.com/org-chart/china-construction-bank,https://www.theofficialboard.com/biography/wang-jiang-90e50,Banking,China,CN - 601939,j7xv,zyx5qv,Doctorate in Economics,Xiamen University,Bachelor in Finance,
26,AT&T,John,Stankey,Chief Executive Officer,"In 1991, John Stankey completed a Bachelor of Arts at University of California, Los Angeles.",https://www.theofficialboard.com/org-chart/att,https://www.theofficialboard.com/biography/john-stankey-d3614,Telecommunications,United States (USA),US - T,oz17,8m974,Bachelor of Arts,"University of California, Los Angeles",,
27,Costco Wholesale,Craig,Jelinek,Chief Executive Officer and Director,"In 1975, Craig Jelinek completed a Bachelor at San Diego State University - California State University.",https://www.theofficialboard.com/org-chart/costco-wholesale,https://www.theofficialboard.com/biography/craig-jelinek-751g5,Retail,United States (USA),US - COST,4oer,v6qj5,Bachelor,San Diego State University - California State University,,
28,Cigna,David,Cordani,"Chairman of the Board, President, Chief Executive Officer",David Cordani has a Bachelor from Texas A&M University and a Master of Business Administration from University of Hartford.,https://www.theofficialboard.com/org-chart/cigna,https://www.theofficialboard.com/biography/david-cordani-034d3,Insurance,United States (USA),US - CI,rmrp,4mv818,Master of Business Administration,University of Hartford,Bachelor,Texas A&M University
29,Agricultural Bank of China,Qingsong,Zhang,Vice Chairman of the Board and President,Vice Chairman of the Board and President,https://www.theofficialboard.com/org-chart/agricultural-bank-of-china1,,Banking,China,CN - 601288,xdm5w,1wxrv8,,,,
30,Cardinal Health,Mike,Kaufmann,"Chief Executive Officer, Interim Chief Financial Officer and Director","In 1985, Mike Kaufmann completed a Bachelor of in Accounting and Management at Ohio Northern University.",https://www.theofficialboard.com/org-chart/cardinal-health-2,https://www.theofficialboard.com/biography/mike-kaufmann-g83e8,Medical Equipment,United States (USA),US - CAH,v27r6,5vp80r,Bachelor of in Accounting and Management,Ohio Northern University,,
31,Trafigura,Jeremy,Weir,Executive Chairman and Chief Executive Officer,Jeremy Weir has a Bachelor of Science from University of Melbourne.,https://www.theofficialboard.com/org-chart/trafigura,https://www.theofficialboard.com/biography/jeremy-weir-2d3ed,Oil & Gas,Netherlands,,9lqzd,o51zow,Bachelor of Science,University of Melbourne,,
32,China Life Insurance,Hengxuan,Su,President and Executive Director,"Hengxuan Su has a Bachelor’s Degree in Insurance and Finance, majoring in Insurance from Wuhan University in 1998 and a Dcotor of Philosophy from University of Science and Technology of China in 2011.",https://www.theofficialboard.com/org-chart/china-life-insurance-2,https://www.theofficialboard.com/biography/hengxuan-su-045d7,Insurance,China,CN - 601628,w0ve0,r7p177,Dcotor of Philosophy,,,Wuhan University
33,Microsoft,Satya,Nadella,Chairman of the Board and Chief Executive Officer,Satya Nadella has a Bachelor of Engineering in Electronics and Telecommunications from Manipal Institute of Technology in 1987 and a Master of Business Administration from University of Chicago - Booth School of Business in 1990.,https://www.theofficialboard.com/org-chart/microsoft,https://www.theofficialboard.com/biography/satya-nadella-62g89,Software,United States (USA),US - MSFT,mqddj,v4yn6,Master of Business Administration,University of Chicago - Booth School of Business,Bachelor of Engineering in Electronics and Telecommunications,
34,Glencore,Gary,Nagle,Chief Executive Officer and Director,Gary Nagle has a Bachelor in Commerce and Accounting from University of Waterloo.,https://www.theofficialboard.com/org-chart/glencore-2,https://www.theofficialboard.com/biography/gary-nagle-ed458,Mining,Switzerland,GB - GLEN,vvnm0,6rx6d4,,University of Waterloo,,
35,China Railway,Wenjian,Chen,Executive Director and President,Wenjian Chen graduated from Tsinghua University.,https://www.theofficialboard.com/org-chart/china-railway,https://www.theofficialboard.com/biography/wenjian-chen-926g4,Highways & Railroads,China,CN - 601390,8on4,6qyvj5,,Tsinghua University,,
36,Walgreens Boots Alliance,Rosalind,Brewer,Chief Executive Officer,Rosalind Brewer has a Bachelor in Chemistry from Spelman College.,https://www.theofficialboard.com/org-chart/walgreens-boots-alliance,https://www.theofficialboard.com/biography/rosalind-brewer-7896g,Retail,United States (USA),US - WBA,xd8xn,6qmrdw,Bachelor in Chemistry,Spelman College,,
37,Exor,John,Elkann,Chief Executive Officer and Chairman of the Board,"In 2000, John Elkann completed a Degree in Industrial Engineering at Politecnico di Torino.",https://www.theofficialboard.com/org-chart/exor,https://www.theofficialboard.com/biography/john-elkann-7g69e,Holding,Netherlands,IT - EXOSF,zdr4q,25462,Degree in Industrial Engineering,Politecnico di Torino,,
38,Allianz SE,Oliver,Bäte,"Chairman of the Management Board, Chief Executive Officer",Oliver Bäte graduated from University of Cologne and from New York University - Leonard N. Stern School of Business.,https://www.theofficialboard.com/org-chart/allianz-se,https://www.theofficialboard.com/biography/oliver-bate-729g2,Insurance,Germany,DE - ALV,v6zp,zdxv7d,,New York University - Leonard N. Stern School of Business,,University of Cologne
39,Bank of China,Jin,Liu,President,Jin Liu has a Master in Arts from Shandong University.,https://www.theofficialboard.com/org-chart/bank-of-china1,https://www.theofficialboard.com/biography/jin-liu-d5819,Banking,China,CN - 601988,nw107,2w6x57,Master in Arts,,,
40,Kroger,Rodney,McMullen,Chairman of the Board and Chief Executive Officer,Rodney McMullen has a Bachelor of Business Administration in Finance from University of Kentucky and a Bachelor in Accounting from University of Kentucky.,https://www.theofficialboard.com/org-chart/kroger,https://www.theofficialboard.com/biography/rodney-mcmullen-7130d,Retail,United States (USA),US - KR,xyr8n,m24wj,Bachelor in Accounting,University of Kentucky,Bachelor of Business Administration in Finance,University of Kentucky
41,Home Depot,Ted,Decker,Chief Executive Officer and President,Ted Decker has a Bachelor of Arts from College of William & Mary in 1985 and a Master of Business Administration in Finance from Carnegie Mellon University in 1993.,https://www.theofficialboard.com/org-chart/home-depot,https://www.theofficialboard.com/biography/ted-decker-5058g,Retail,United States (USA),US - HD,loowm,8l10x2,Master of Business Administration in Finance,Carnegie Mellon University,Bachelor of Arts,College of William & Mary
42,China Railway Construction,Shangbiao,Zhuang,"President, Executive Director",Shangbiao Zhuang has an Undergraduate Degree from Changsha University of Science & Technology.,https://www.theofficialboard.com/org-chart/china-railway-construction,https://www.theofficialboard.com/biography/shangbiao-zhuang-64g74,Construction,China,CN - 601186,nlrw,nn95q,Undergraduate Degree,,,
43,JPMorgan Chase,James,Dimon,Chairman and Chief Executive Officer,James Dimon has a Degree in Psychology and Economics from Tufts University in 1978 and a Master of Business Administration from Harvard Business School in 1982.,https://www.theofficialboard.com/org-chart/jpmorgan-chase,https://www.theofficialboard.com/biography/james-dimon-g0g90,Banking,United States (USA),US - JPM,4v9r,n0jpq,Master of Business Administration,Harvard Business School,,Tufts University
44,Huawei Technologies,Zhengfei,Ren,"Founder, Vice Chairman of the Board and Chief Executive Officer",Zhengfei Ren graduated from Chongqing University of Civil Engineering and Architecture.,https://www.theofficialboard.com/org-chart/huawei-technologies,https://www.theofficialboard.com/biography/zhengfei-ren-219g1,Telecommunications,China,,271jq,nezyd8,,,,
45,Verizon,Hans,Vestberg,Chief Executive Officer and Chairman,"In 1991, Hans Vestberg completed a Bachelor of Business Administration at Uppsala University.",https://www.theofficialboard.com/org-chart/verizon,https://www.theofficialboard.com/biography/hans-vestberg-916g8,Telecommunications,United States (USA),US - VZ,7wedr,q6wq9j,Bachelor of Business Administration,Uppsala University,,
46,Axa,Thomas,Buberl,"Chairman of the Management Board, Chief Executive Officer and Director",Thomas Buberl has a Master in Business Administration and Management from WHU – Otto Beisheim School of Management in 1999 and a Doctor of Philosophy in Credit Risk Management from University of Sankt Gallen in 2001.,https://www.theofficialboard.com/org-chart/axa,https://www.theofficialboard.com/biography/thomas-buberl-d1601,Insurance,France,FR - CS,erj4,997164,Doctor of Philosophy in Credit Risk Management,,Master in Business Administration and Management,WHU – Otto Beisheim School of Management
47,Ford Motor,James,Farley,"President, Chief Executive Officer and Director","James Farley has a Bachelor in Economics and Computer Science from Georgetown University and a Master of Business Administration from University of California, Los Angeles - Anderson School of Management.",https://www.theofficialboard.com/org-chart/ford-motor,https://www.theofficialboard.com/biography/james-farley-3834g,Automotive,United States (USA),US - F,lvr6,1pwv8,Master of Business Administration,"University of California, Los Angeles - Anderson School of Management",Bachelor in Economics and Computer Science,Georgetown University
48,Honda Motor,Toshihiro,Mibe,"President, Chief Executive Officer and Representative Director",,https://www.theofficialboard.com/org-chart/honda-motor,,Automotive,Japan,JP - 7267,zn9v,zy0j1q,,,,
49,GM,Mary,Barra,Chief Executive Officer and Chairman of the Board,Mary Barra has a Bachelor of Science from General Motors Institute and a Master of Business Administration from Stanford Business School.,https://www.theofficialboard.com/org-chart/gm,https://www.theofficialboard.com/biography/mary-barra-90e62,Automotive,United States (USA),US - GM,mdml,4z08q,Master of Business Administration,Stanford Business School,Bachelor of Science,
50,Elevance Health,Gail,Boudreaux,"Chief Executive Officer, President and Director",Gail Boudreaux has a Bachelor of Arts in Psychology from Dartmouth College in 1982 and a Master of Business Administration from Columbia University in 1989.,https://www.theofficialboard.com/org-chart/elevance-health,https://www.theofficialboard.com/biography/gail-boudreaux-7e3ge,Healthcare,United States (USA),US - ANTM,8wm42,qnn1oe,Master of Business Administration,Columbia University,Bachelor of Arts in Psychology,Dartmouth College
51,Mitsubishi,Takehiko,Kakiuchi,President and Chief Executive Officer,Takehiko Kakiuchi has a Bachelor from Kyoto University.,https://www.theofficialboard.com/org-chart/mitsubishi,https://www.theofficialboard.com/biography/takehiko-kakiuchi-703e0,Industrial Conglomerates,Japan,JP - 8058,q624,jwo0eq,Bachelor,Kyoto University,,
52,TotalEnergies,Patrick,Pouyanne,"Chairman of the Board, President and Chief Executive Officer",Patrick Pouyanne graduated from Ecole Polytechnique of Paris.,https://www.theofficialboard.com/org-chart/totalenergies,https://www.theofficialboard.com/biography/patrick-pouyanne-d4926,Oil & Gas,France,FR - TTE,6lel5,0n475,,Ecole Polytechnique of Paris,,
53,Deutsche Telekom,Timotheus,Höttges,"Chairman of the Management Board, Chief Executive Officer",Timotheus Höttges has a Business Administration and Economics Degree from University of Cologne.,https://www.theofficialboard.com/org-chart/deutsche-telekom,https://www.theofficialboard.com/biography/timotheus-hottges-21e63,Telecommunications,Germany,DE - DTE,npvv,2rj9p,Business Administration and Economics Degree,University of Cologne,,
54,BMW,Oliver,Zipse,Chairman of the Management Board,Oliver Zipse has a Engineering Diploma from Technical University of Darmstadt in 1991 and a Master of Business Administration from Northwestern University - Kellogg School of Management in 1999.,https://www.theofficialboard.com/org-chart/bmw,https://www.theofficialboard.com/biography/oliver-zipse-g15d2,Automotive,Germany,DE - BMW,2e82,wj7en8,Master of Business Administration,Northwestern University - Kellogg School of Management,Engineering Diploma,Technical University of Darmstadt
55,NTT - Nippon Telegraph & Telephone,Jun,Sawada,President and Chief Executive Officer,,https://www.theofficialboard.com/org-chart/ntt-nippon-telegraph-telephone,,Telecommunications,Japan,JP - 9432,mpwl,m9rw8w,,,,
56,China Mobile,Xin,Dong,Chief Executive Officer and Executive Director,Xin Dong has a Master’s degree in Financial and Accounting Management from Australian National University and a Doctoral degree in Business Administration from Shanghai Jiao Tong University.,https://www.theofficialboard.com/org-chart/china-mobile,https://www.theofficialboard.com/biography/xin-dong-g8610,Telecommunications,China,HK - 0941,ppq,e0nv82,Doctoral degree in Business Administration,Shanghai Jiao Tong University,,Australian National University
58,Japan Post,Hiroya,Masuda,"Director and Representative Executive Officer, President and Chief Executive Officer",Hiroya Masuda has a Bachelor from University of Tokyo.,https://www.theofficialboard.com/org-chart/japan-post,https://www.theofficialboard.com/biography/hiroya-masuda-dg68g,Package/Freight Delivery,Japan,JP - 6178,qq7yn,ly4m2r,Bachelor,University of Tokyo,,
59,JD.com,Qiangdong,Liu,"Founder, Chairman of the Board of Directors and Chief Executive Officer",Qiangdong Liu has a Bachelor in Sociology from Renmin University of China and a Master of Business Administration from China Europe International Business School.,https://www.theofficialboard.com/org-chart/jd-com,https://www.theofficialboard.com/biography/qiangdong-liu-726d2,Retail,China,US - JD,zq56v,687vm2,Master of Business Administration,China Europe International Business School,,Renmin University of China
60,SAIC Motor,Xiaoqiu,Wang,President and Director,President,https://www.theofficialboard.com/org-chart/saic-motor-2,,Automotive,China,CN - 600104,qq7qe,09z0e5,,,,
61,China Communications Construction Company,Haihuai,Wang,President and Executive Director,Haihuai Wang has a Degree in Harbour and Channel Engineering from Chongqing Jiaotong University and a Master of Business Administration from Wuhan University.,https://www.theofficialboard.com/org-chart/china-communications-construction-company,https://www.theofficialboard.com/biography/haihuai-wang-d2ge2,Construction,China,CN - 601800,o75w,2rn4px,Master of Business Administration,Wuhan University,,
62,Fannie Mae,Hugh,Frater,Chief Executive Officer and Director,"Hugh Frater has a Bachelor of Arts in English from Dartmouth College in 1977 and a Master of Business Administration, Finance, Board of Overseers from Columbia University - Business School in 1985.",https://www.theofficialboard.com/org-chart/fannie-mae,https://www.theofficialboard.com/biography/hugh-frater-123dg,Banking,United States (USA),US - FNMA,0w48,p77w4p,,Columbia University - Business School,Bachelor of Arts in English,Dartmouth College
63,Alibaba Group,Daniel,Zhang,Chief Executive Officer and Executive Chairman,Daniel Zhang has a Bachelor in Finance from Shanghai University of Finance and Economics.,https://www.theofficialboard.com/org-chart/alibaba-group,https://www.theofficialboard.com/biography/daniel-zhang-d0ed2,Retail,China,CN - 9988,p41q,xd0nz9,Bachelor in Finance,Shanghai University of Finance and Economics,,
64,Comcast,Brian,Roberts,Chief Executive Officer and Chairman of the Board,Brian Roberts has a Bachelor of Science from University of Pennsylvania.,https://www.theofficialboard.com/org-chart/comcast,https://www.theofficialboard.com/biography/brian-roberts-893g8,Broadcasting,United States (USA),US - CMCSA,v920,47x1r,Bachelor of Science,University of Pennsylvania,,
65,MinMetals,Guo,Wenqing,President,Guo Wenqing has a Bachelor of Business Administration from Hebei University of Science and Technology.,https://www.theofficialboard.com/org-chart/minmetals,https://www.theofficialboard.com/biography/guo-wenqing-24ed3,Metal,China,,zp414,190148,Bachelor of Business Administration,,,
66,FAW Group,Xiandong,Qiu,President and Director,,https://www.theofficialboard.com/org-chart/faw-group,,Automotive,China,CN - 000800,mozpw,xr2pnp,,,,
67,Hengli Group,Jianhua,Chen,President and Chairman of the Board,,https://www.theofficialboard.com/org-chart/hengli-group,,Textiles,China,,m6x0w,y48vry,,,,
68,Amer International Group,Wenyin,Wang,Chairman of the Board,,https://www.theofficialboard.com/org-chart/amer-international-group,,Metal,China,,5d48r,ezq0o1,,,,
69,China Resources,Xin,Li,President and Executive Director,Xin Li has a Bachelor from Dongbei University of Finance and Economics and a Master from Hong Kong Polytechnic University.,https://www.theofficialboard.com/org-chart/china-resources,https://www.theofficialboard.com/biography/xin-li-7d638,Industrial Conglomerates,China,,68dr5,700v0v,Master,Hong Kong Polytechnic University,Bachelor,
70,Shandong Energy,Weimin,Li,Chief Executive Officer,Weimin Li graduated from China University of Mining and Technology.,https://www.theofficialboard.com/org-chart/shandong-energy,https://www.theofficialboard.com/biography/weimin-li-e9g19,Mining,China,CN - 600777,5wo70,zq8e5j,,,,
71,Itochu,Masahiro,Okafuji,"Chairman of the Board, Chief Executive Officer and Representative Director",Masahiro Okafuji graduated from University of Tokyo.,https://www.theofficialboard.com/org-chart/itochu,https://www.theofficialboard.com/biography/masahiro-okafuji-216e8,Wholesale,Japan,JP - 8001,w95m,zp2q5,,University of Tokyo,,
72,Baowu,Wangming,Hu,President,Wangming Hu has a Master in Mechanical Engineering from Southeast University in 1987 and a Doctor in management from Wuhan University of Technology in 2005.,https://www.theofficialboard.com/org-chart/baowu,https://www.theofficialboard.com/biography/wangming-hu-178d7,Metal,China,CN - 600019,nn0jv,2ljqm2,Doctor in management,,Master in Mechanical Engineering,Southeast University
73,Generali,Philippe,Donnet,"Managing Director, Group Chief Executive Officer, Interim Chief Insurance Officer and Director",Philippe Donnet graduated from Ecole Polytechnique of Paris and from Institut des Actuaires Français.,https://www.theofficialboard.com/org-chart/generali,https://www.theofficialboard.com/biography/philippe-donnet-0g307,Insurance,Italy,IT - ARZGF,9074,ez1wpm,,,,Ecole Polytechnique of Paris
74,China Post Group,Jinliang,Zhang,Director and Managing Director,Jinliang Zhang has a PhD from Xiamen University.,https://www.theofficialboard.com/org-chart/china-post-group,https://www.theofficialboard.com/biography/jinliang-zhang-74d64,Package/Freight Delivery,China,,op047,0zpqq8,PhD,Xiamen University,,
75,Chevron,Michael,Wirth,Chairman of the Board and Chief Executive Officer,"In 1982, Michael Wirth completed a Bachelor of Science in Chemical Engineering at University of Colorado.",https://www.theofficialboard.com/org-chart/chevron,https://www.theofficialboard.com/biography/michael-wirth-616e2,Oil & Gas,United States (USA),US - CVX,pmvr,0px9o,Bachelor of Science in Chemical Engineering,University of Colorado,,
76,Dell Technologies,Michael,Dell,Chairman of the Board and Chief Executive Officer,Michael Dell has obtained a degree from University of Texas at Austin in 1984.,https://www.theofficialboard.com/org-chart/dell-technologies,https://www.theofficialboard.com/biography/michael-dell-657d2,Computer Hardware,United States (USA),US - DELL,1618,el6o5,,University of Texas at Austin,,
77,Bank of America,Brian,Moynihan,Chief Executive Officer & Chairman of the Board,Brian Moynihan has a Bachelor of Arts from University of Maryland in 1981 and a Juris Doctor from University of Notre Dame - Law School in 1984.,https://www.theofficialboard.com/org-chart/bank-of-america,https://www.theofficialboard.com/biography/brian-moynihan-d0e25,Banking,United States (USA),US - BAC,opez,094zr,Juris Doctor,University of Notre Dame - Law School,Bachelor of Arts,University of Maryland
78,Target,Brian,Cornell,Chairman of the Board and Chief Executive Officer,"In 1981, Brian Cornell completed a Bachelor at University of California, Los Angeles.",https://www.theofficialboard.com/org-chart/target,https://www.theofficialboard.com/biography/brian-cornell-21g27,Retail,United States (USA),US - TGT,6l5zw,d6eo09,Bachelor,"University of California, Los Angeles",,
79,Nestlé,Ulf,Schneider,Chief Executive Officer,Ulf Schneider has a Master of Business Administration from Harvard Business School and a Doctorate from University of St. Gallen.,https://www.theofficialboard.com/org-chart/nestle,https://www.theofficialboard.com/biography/ulf-schneider-34ee7,Food,Switzerland,CH - NESN,dqr5x,9d65jr,Doctorate,,Master of Business Administration,Harvard Business School
80,Lowe's Companies,Marvin,Ellison,"President, Chief Executive Officer, Chairman of the Board and Director",Marvin Ellison has a Bachelor in Business Marketing from University of Memphis and a Master of Business Administration from Emory University - Goizueta Business School.,https://www.theofficialboard.com/org-chart/lowe-s-companies-2,https://www.theofficialboard.com/biography/marvin-ellison-16d58,Retail,United States (USA),US - LOW,8lqo2,5do00o,Master of Business Administration,Emory University - Goizueta Business School,Bachelor in Business Marketing,University of Memphis
81,Marathon Petroleum,Michael,Hennigan,"President, Chief Executive Officer and Director",Michael Hennigan has a Bachelor of Science in Chemical Engineering from Drexel University.,https://www.theofficialboard.com/org-chart/marathon-petroleum,https://www.theofficialboard.com/biography/michael-hennigan-d2e92,Oil & Gas,United States (USA),US - MPC,zpxpj,9dnmn0,Bachelor of Science in Chemical Engineering,Drexel University,,
82,Citigroup,Jane,Fraser,Chief Executive Officer and Director,Jane Fraser has a Master of Art in Economics from University of Cambridge and a Master of Business Administration from Harvard Business School.,https://www.theofficialboard.com/org-chart/citigroup,https://www.theofficialboard.com/biography/jane-fraser-d7d9g,Banking,United States (USA),US - C,nod7,684e49,Master of Business Administration,Harvard Business School,Master of Art in Economics,University of Cambridge
